"genus","DNA","RNA","ALL","CroplandSize","PastureSize","TotalPopulationSize","Elevation","DistanceToClosestTown","MammalSympatry","AdultBodyMass_g","AdultForearmLen_mm","DietBreadth","LitterSize","LittersPerYear","PopulationGrpSize","TrophicLevel","BodyMassValue","RWL","AR","Forearm","Mass","Pulse","GroupSize","Lifespan","CleanDataSize","CleanQ30","TotalContigLength","ContigCount","neighborSampleNum","neighborBatGenus","neighborDNAvirusMean","neighborRNAvirusMean"
"Rousettus",0,0,0,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,22043581650,88.42,657028616,"741646",22,2,0,0.590909090909091
"Chaerephon",0,3,3,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,3507101388,88.52,19847960,"25517",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,1257774019,86.31,5446161,"9497",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,1417736932,86.3,7531729,"14333",20,1,0,0
"Chaerephon",0,3,3,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,7397556171,88.24,231381882,"441687",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,749380343,86.48,4059869,"7479",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,821514166,86.63,10007666,"12204",20,1,0,0
"Chaerephon",0,4,4,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,2386033323,91.19,41445465,"65609",20,1,0,0
"Chaerephon",1,0,1,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,1898759194,85.86,8532585,"15321",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,2787800801,87.96,32169139,"66972",20,1,0,0
"Chaerephon",0,1,1,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,3005826711,87.31,27785627,"61096",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,2977480412,85.76,8058587,"16205",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,1109485632,85.9,4363214,"8046",20,1,0,0
"Chaerephon",0,0,0,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,1296484775,86.71,12573820,"17286",20,1,0,0
"Chaerephon",0,1,1,53.21454239,27.15859604,35474.83984,1449,31239.05526,134,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,2035597117,87.97,19182070,"36047",20,1,0,0
"Rousettus",0,0,0,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,14941878292,87.29,354039069,"664023",22,2,0,0.590909090909091
"Chaerephon",2,3,5,39.03632736,26.68325233,40885.50781,1140,49601.41882,123,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,3601476159,90.81,103915353,"176643",9,2,0.222222222222222,0.111111111111111
"Chaerephon",0,0,0,39.03632736,26.68325233,40885.50781,1140,49601.41882,123,16.08875,44.11785714,1,0.995,2.5,5.466553485,3,15.39944444,66.95579193,8.900000007,43.63833334,15.01625,2,4015.000004,60,3851844305,86.02,20073195,"43867",9,2,0.333333333333333,0.222222222222222
