sample_id,CleanDataSize,CleanQ30,TotalContigLength,ContigCount
BATORAL24R,520254676,89.96,14413445,32599
BATORAL24VTM,15154475568,89.96,798129252,1225946
BATORAL25R,1488612511,89.57,72855206,162269
BATORAL25VTM,31217181421,90.86,1375722210,2036547
BATORAL26R,648357496,90.6,22766984,53076
BATORAL26VTM,25751901343,88.79,1002571150,1287501
BATORAL27R,536013889,91.89,15512151,34387
BATORAL27VTM,17978981857,90.33,1139198470,1660774
BATORAL28R,2155936700,87.06,113439187,242782
BATORAL28VTM,20082054227,90.76,1027443428,1291704
BATORAL29R,858298071,87.45,21945864,52269
BATORAL29VTM,10874850278,90.2,464077596,797547
BATORAL2R,776833657,91.1,15451946,34991
BATORAL2VTM,3765045478,89.6,212671104,479282
BATORAL30R,1652997631,89.09,86515187,186991
BATORAL30VTM,15954689931,91,915503745,1163616
BATORAL31R,791573910,90.87,38526258,86117
BATORAL31VTM,4952571907,89.76,305993014,555740
BATORAL32R,916537007,88.98,30933550,70266
BATORAL32VTM,19083156214,89.17,958043381,1239667
BATORAL33R,765749319,89.52,21231851,48214
BATORAL33VTM,23702624408,89.72,996719193,1287554
BATORAL34R,3422984605,88.67,262883625,473590
BATORAL34VTM,4783354450,95.18,300121155,567539
BATORAL35R,818957910,89.1,26293858,59050
BATORAL35VTM,27119406446,89.09,1776747649,1894912
BATORAL3R,1327890734,90.76,50387290,115476
BATORAL3VTM,32716518162,90.13,1273263874,1951446
BATORAL4R,438223085,89.8,12754292,25582
BATORAL5R,2434026351,87.17,51767968,119907
BATORAL5VTM,12948580848,91.96,677335924,1184687
BATORAL6R,833722666,85.93,12105853,27258
BATORAL6VTM,29171889164,89.85,1258916181,1529891
BATORAL7R,3253222137,88.91,153349142,311423
BATORAL7VTM,22360017076,90.7,1577309968,1722622
BATORAL8R,547500644,88.68,9588181,21471
BATORAL8VTM,27984779314,90.97,1751615671,1581612
BATORAL9R,1177948108,87.79,20364719,45817
BATORAL9VTM,21519902912,91.12,1046658597,1503792
BFS048,95588430,84.67,1109098,2450
BFS050,971702745,91.14,25596140,43218
BFS051,294259057,84.94,6335375,12287
BFS054,13229980863,91.53,1275937936,1755540
BFS058,775999241,87.99,13574007,30125
BFS059,2173071817,84.52,48064874,113413
BFS070,604166302,82.92,6509815,288
BFS074,7568949010,82.59,207552135,421380
BFS077,2177064326,81.6,9606480,22246
BFS079,6081579620,81.95,32007641,76146
BFS094,3865663482,91.79,307472592,444168
BFS095,214481419,84.71,3700678,7356
BFS096,7938270120,82.94,340304518,608680
BFS099,5989622206,83.95,449382293,798348
